	tweet	class	prediction
6091	@elise_palmer sounds like gypos to me - they used to do this all the time where I lived	2	1.0
24854	please tell this bitch I'm subbin her, ik one of you faggs on here fuck with those lames, shit I'm blocked or I would lol	1	0.0
4263	"@MisterDimmadome 
spiked that bitch
damned nailed her down"	1	2.0
12533	"Kevin hart 4""8 bitch"	1	2.0
17159	RT @OfficialKingDre: WTF did this bitch do? &#128514;&#128514; https://t.co/5BFuSp9bfn	1	2.0
1440	"&#8220;@MattieTrump97: Eat a lot of protein
Eat a lot of pussy
#MattieTrumpsTipsForABetterLife&#8221;

Eat the whole ass"	1	1.0
9522	Fuck rebuild the tranny, I'm driving it like its been for the last 4 years till it finally goes out &#128514;&#128514;&#128514;	1	1.0
13467	My sister called the chinks an asked was they open ctfu she fried!!	1	2.0
1964	&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me	0	1.0
21015	Russel Martin had a miserable season but is quietly having a good September #Yankees #BlueJays #MLB	2	1.0
479	"""I dont even need a picture of tamar, that bitch is beat in every picture""&#128514;&#128557;&#128514;&#128514;&#128514;"	1	1.0
20640	RT @tishforprez: that pointy nail game is for da birds.	2	2.0
9307	Famous women be the biggest hoes.	1	2.0
22656	Till Michonne gutted dat hoe	1	2.0
15523	RT @Fant4stic63: Can kids say much when their parents pay for everything? RT @Andrea_Michele: If he paying every bill, I can't complain abo&#8230;	2	1.0
15341	RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant	0	1.0
9043	Don't get yo bitch ass killed in new Atlanta baby!	1	2.0
13674	Niggas sleepin with bitches grandmas??? Lmfao maury fake af	0	2.0
18510	RT @XBL_NexXx: all these faggots posting faces about to get the hot unfollow	1	1.0
434	"""Brownies for my brownie"" I love this movie. &#128517;"	2	2.0
19933	RT @leandr321: I can't never keep no bitch cause I put them hoze out	1	1.0
2082	' I ain't trippen cause I like her anyways , she got a niggah and I got a girl but anyways , yea anyways &#1041196;	1	2.0
16666	RT @Lpietrantonio: BPG bitch	1	2.0
3850	@KEIRRANicolee I didn't know you was following me hoe &#128514;	1	2.0
4583	@QVC strawberry shortcake. Stacked with whipped cream, yellow spunge-cake, &amp; sliced #strawberries freshly picked from the farm w/ my kids.	2	1.0
24797	nope RT @DerekIsNormal: Just ordered Domino's. Am I trash?	2	1.0
17606	RT @SaveTheBS: Get to bed, bitches, and only dream happy dreams.	1	1.0
13465	My shift won't be over no time so in the mean time im doing what I have to go to get by. And if it means tweeting trash I will	2	2.0
23667	Yo bitch know wat im talkin bout	1	1.0
21516	Someone at my household wants to die. I get all excited to enjoy a couple of Oreos, but someone left ONLY ONE. ONE FRIGGIN' OREO. &#128545;&#128548;&#128544;&#128298;&#128299;	2	2.0
