	tweet	class	prediction
11681	I'm so mother fucken sexy. I have no time to be a retard.	1	2
17087	RT @NotWorldStar: When you drop all your hoes for one person and y'all don't end up together http://t.co/lLViTXweMX	1	2
15035	RT @Chill__Nigga: I can't be in my twenties stressing over a bitch who playin games. I'm straight lol	1	1
9522	Fuck rebuild the tranny, I'm driving it like its been for the last 4 years till it finally goes out &#128514;&#128514;&#128514;	1	2
12437	Just got rich. Took a broke nigga bitch	1	1
19933	RT @leandr321: I can't never keep no bitch cause I put them hoze out	1	2
12813	Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.	2	1
20754	RT @wegomakeit: pussy pussy pussy i smell ya frum bout a mile away&#128564;	1	1
11272	"I told that little bitch ass nigga, ""do it look like I'm about to eat your gun charge?"" I'll slap you and your hoe ass lawyer."	1	2
16762	RT @MaryWCVB: Charlie Baker about to make his final election eve campaign stop- here at Swampscott High School. #wcvb #wcvbpoli http://t.co&#8230;	2	1
13749	Nobody gives me a trophy cause I'm old and colored #FavStarTweets&#160;	2	0
10198	How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.	2	1
2805	@CaelanG15 that nigga was eating that hoe lol	1	0
3670	@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.	1	1
6471	@joshkline1992 that's my nig nog	1	1
12322	Its wayyyyy more going on now than 2 have u pushing yo trash ass music right now	1	2
18486	RT @Women_Fit: Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.	2	1
24445	how you insecure but a hoe? TF	1	1
4952	@SweetKixx u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets	0	2
7145	@ryancruz_ brandy wanna b down ass bitches &#128533;	1	1
17476	RT @ReginaldSpears: If Hank Jr. was half the man his daddy was, he'd bitch-slap Brantly Gilbert for having his name in his mouth.	1	1
19443	RT @froxgawd: tf is a baby goal? bitch u gone have what you gone have. RT @missloloko: Baby goals &#128525;&#128525;&#128525;&#128525;&#128076;&#128175; http://t.co/bwldJEx8Qg	1	1
24229	"damn @liltwist @diplo @LilTunechi &amp; @chrisbrown #fire ""flowers for the ladies &amp; dick for the hoes"" lol http://t.co/4XKUFnZc"	1	1
2850	@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat.	2	1
389	"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it"	2	2
23396	Why you gotta be such a hoe smh I ain't captain save a hoe !!	1	1
4076	@LouieVRee @TehReelHov dat bitch a tampon	1	2
17669	RT @ShayDMVsFinest: I know I got good pussy &#128133;	1	1
24898	retard.	1	1
5709	@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.	0	1
3329	"@Gertrude_Larue 
I is colored, Latino and some Jewish. When I move in, I don't ruin the neighborhood, I wipe it out!"	2	2
14713	RT @BigBootyProbs: Happy Valentine&#8217;s Day big booty bitches. &#10084;	1	2
9765	Good pussy change ya life! &#128514;&#128557;	1	2
672	#5WordsAfterSex is that all pussy bitch?	1	2
14930	RT @CallMeRenee_: &#8220;@1inkkofrosess: stupid ass toe dog dam&#8221;&#128514;&#128514; bitch you mad at your toe &#128553; dumb hoe yo toe aint wanna be stomped .	1	0
20671	RT @treszTHEbest: It's all they know RT @SMCo71: you bitches never gonna b happy following these social sites	1	1
8886	Dark skinned girls with blonde hair need to stop it. The only bitch that can rock that is Dijonay from The Proud Family.	1	1
13335	My dad just told @YourDudeFerg 's dad to text one of their friends and say hashtag pussy. Hahahaha I'm done	1	1
18065	RT @TheFatKidJames: @Von_VonRichter Bro fuck you for leaving! Lol no but have a great time up there and don't forgot about the bros back ho&#8230;	1	0
3431	@HarleyyyQuinn_ trash	2	1
2645	@BigCatCooke deserved victory! #Elite8 awaits your #Orange army. #Sweet16 was no disgrace #collegehoops ill be back next time #hoosiers	2	0
19272	RT @datnigga_laced: Never invest money into a broke bitch ..	1	1
