	tweet	class	prediction
22367	Think it's okay to take my property and break it? Fuck you bitch	0	1
14922	RT @Cajun_peach: Because humans aren't delicious ho RT @peta: Smarter than dogs AND your 3-year-old child. So why EAT them? http://t.co/eRT&#8230;	2	1
13467	My sister called the chinks an asked was they open ctfu she fried!!	1	2
1964	&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me	0	1
10175	How can I not take my style back from niccas when niccas was taking my style WAY before.....Preach @1future &#128175; #RNS	1	2
20640	RT @tishforprez: that pointy nail game is for da birds.	2	1
15341	RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant	0	1
7432	"@tyler_wilde As in, ""throw birds with long pointy beaks at you""?"	2	1
8395	Brady heard yall say he was washed, now he washing the league on you hoe ass niggas.	0	1
3357	@GlitteredInPink hoe don't tweet me	0	1
3626	"@ItsMander @kfc
You can always gets da colored folk back in da cage wit da KFC"	0	1
13674	Niggas sleepin with bitches grandmas??? Lmfao maury fake af	0	1
18510	RT @XBL_NexXx: all these faggots posting faces about to get the hot unfollow	1	2
434	"""Brownies for my brownie"" I love this movie. &#128517;"	2	1
24658	lmao I s2g having roots with yellow/white hair makes it look so dirty I'm &#128567; http://t.co/SqbYdUiZr8	2	1
12813	Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.	2	1
21516	Someone at my household wants to die. I get all excited to enjoy a couple of Oreos, but someone left ONLY ONE. ONE FRIGGIN' OREO. &#128545;&#128548;&#128544;&#128298;&#128299;	2	1
18459	"RT @WhenRapperSaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy"" http://t.co/pto&#8230;"	1	2
12417	Jus tired to tell a nicca Young Thug was gah yesterday nicca ain't believe me &#128530;	1	2
13749	Nobody gives me a trophy cause I'm old and colored #FavStarTweets&#160;	2	1
22153	There's a bird nest in my garage and so now when the birds fly out they poop on my car. &#128529;	2	1
10198	How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.	2	1
23532	Y'all suck on flappy bird	2	1
3670	@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.	1	2
23336	Why can't I have colored eyes like my siblings &#128557;&#128557;	2	1
20221	RT @ockfromdablock: I'd go crazy if these animals like them grabbed my mama like that. I ain't going out like no bitch&#128548; http://t.co/sulNMnC&#8230;	1	2
10961	I liked a @YouTube video http://t.co/QGNHiLdTTv The Sock Fairy, a short film	2	1
18486	RT @Women_Fit: Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.	2	1
23301	Who wanna play pin da tail on da colored man's butt?	2	1
