	tweet	class	prediction
12549	Kim K is alright but honestly so many niggas been in that I'd rather not.. And Miley got unfollowed that bitch is just strange.	1	0
11681	I'm so mother fucken sexy. I have no time to be a retard.	1	0
14791	"RT @Booskerz: ""@DailySexSupply: Girls that fuck back &gt;&gt;&gt; &#128525;&#128525; http://t.co/pI064ylhF6"" @iDocLyfe your last one was trash so here"	1	0
6091	@elise_palmer sounds like gypos to me - they used to do this all the time where I lived	2	0
24854	please tell this bitch I'm subbin her, ik one of you faggs on here fuck with those lames, shit I'm blocked or I would lol	1	0
14922	RT @Cajun_peach: Because humans aren't delicious ho RT @peta: Smarter than dogs AND your 3-year-old child. So why EAT them? http://t.co/eRT&#8230;	2	1
9522	Fuck rebuild the tranny, I'm driving it like its been for the last 4 years till it finally goes out &#128514;&#128514;&#128514;	1	0
13467	My sister called the chinks an asked was they open ctfu she fried!!	1	2
1964	&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lmao&#8221; you can dm me	0	1
10175	How can I not take my style back from niccas when niccas was taking my style WAY before.....Preach @1future &#128175; #RNS	1	2
12437	Just got rich. Took a broke nigga bitch	1	0
22223	These ho%e$ for everybody just like these niggahs for everybody! A hoe gone be a hoe regardless and (cont) http://t.co/m09Dow96rw	1	0
20640	RT @tishforprez: that pointy nail game is for da birds.	2	0
22656	Till Michonne gutted dat hoe	1	0
7432	"@tyler_wilde As in, ""throw birds with long pointy beaks at you""?"	2	1
18510	RT @XBL_NexXx: all these faggots posting faces about to get the hot unfollow	1	0
2082	' I ain't trippen cause I like her anyways , she got a niggah and I got a girl but anyways , yea anyways &#1041196;	1	0
24658	lmao I s2g having roots with yellow/white hair makes it look so dirty I'm &#128567; http://t.co/SqbYdUiZr8	2	1
3631	@ItsYOUR_man make me white trash cousin fucker	1	0
12813	Lmao the shovel video is pretty awesome, she went down like a ton of bricks lol. Gotta love honky riff raff savages. That is all.	2	0
11272	"I told that little bitch ass nigga, ""do it look like I'm about to eat your gun charge?"" I'll slap you and your hoe ass lawyer."	1	0
11534	I'm bringing booty back. Go ahead and tell them skinny bitches that.	1	2
21516	Someone at my household wants to die. I get all excited to enjoy a couple of Oreos, but someone left ONLY ONE. ONE FRIGGIN' OREO. &#128545;&#128548;&#128544;&#128298;&#128299;	2	1
