average_offensiveness,created_on,hateful_meaning,is_about_class,is_about_disability,is_about_ethnicity,is_about_gender,is_about_nationality,is_about_religion,is_about_sexual_orientation,is_unambiguous,is_unambiguous_in,language,nonhateful_meaning,number_of_sightings,number_of_sightings_this_month,number_of_sightings_this_year,plural_of,term,transliteration_of,updated_on,variant_of,vocabulary_id
,2019-05-14 16:51:32,,False,False,True,False,False,False,False,False,,eng,,0,0,0,floppy,floppies,,2019-05-14 16:51:32,,jkedcbraz
,2019-05-14 01:09:31,"An African.  Etymology is variously attributed to Zimbabwe or South Africa, and may have originated from floppy hats worn by laborers or the action of flopping down dead when shot.",False,False,True,False,False,False,False,False,,eng,,0,0,0,,floppy,,2019-05-14 01:09:31,,gcJbMVkVW
98.0,2018-11-01 19:42:27,To poorly repair or assemble something,False,False,True,False,False,False,False,True,,eng,,3,1,3,,nigger-rig,,2019-05-10 18:57:27,,FZLzRqPbD
37.0,2019-05-07 20:05:39,Contraction of liberal and retard,False,True,False,False,False,False,False,False,,eng,,0,0,0,,libtard,,2019-05-10 16:46:49,,zPrJTQa6Y
,2019-04-12 17:16:15,,False,False,True,False,False,True,False,False,,eng,,0,0,0,,hooknosed,,2019-04-12 17:16:15,hooknose,arAfRhXak
,2019-04-12 17:15:34,,False,False,True,False,False,True,False,False,,eng,,0,0,0,hooknose,hooknoses,,2019-04-12 17:15:34,,pbWuDaapo
,2019-04-12 17:14:59,Referring to a stereotypical facial feature of Jewish people,False,False,True,False,False,True,False,False,,eng,,0,0,0,,hooknose,,2019-04-12 17:14:59,,JWkFPrJmY
,2019-04-12 17:11:51,,False,False,True,False,False,False,False,False,,eng,,0,0,0,,half bred,,2019-04-12 17:11:51,half breed,WDZWQCEtL
,2019-04-12 17:09:24,,False,False,True,False,False,True,False,False,,eng,,0,0,0,jihadi-american,jihadi-americans,,2019-04-12 17:09:24,,qVTLPxNRc
,2019-04-12 17:08:44,"Derogatory play on hyphenated ethnicity, relating to Muslims or Arabs more broadly.",False,False,True,False,False,True,False,False,,eng,,0,0,0,,jihadi-american,,2019-04-12 17:08:44,,BjWPVTHeu
,2019-04-12 17:06:21,,False,False,True,False,False,False,False,False,,eng,,0,0,0,gookie,gookies,,2019-04-12 17:06:21,,UXQj23n9C
